Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp4_BetaSweep,beta_sweep_0.3,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.3,50000,92.6%,85.0%,mean_rest,0.0047,5.3e-30,True,85.0%,0.0045,1.7e-11,False,84.9%,0.0039,4.8e-04,False,84.8%,0.0039,5.5e-12,False
Exp4_BetaSweep,beta_sweep_0.5,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,83.9%,mean_rest,0.0057,5.2e-135,True,83.7%,0.0052,5.8e-87,True,83.6%,0.0054,7.5e-102,True,83.6%,0.0050,4.1e-70,True
Exp4_BetaSweep,beta_sweep_0.7,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.7,50000,92.6%,84.3%,mean_rest,0.0061,1.4e-183,True,84.4%,0.0061,2.7e-154,True,84.4%,0.0057,1.6e-160,True,84.3%,0.0050,3.9e-99,True
Exp4_BetaSweep,beta_sweep_0.9,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.9,50000,92.6%,84.1%,mean_rest,0.0063,1.4e-217,True,83.9%,0.0061,2.6e-180,True,83.8%,0.0056,4.5e-173,True,84.0%,0.0055,8.7e-167,True
Exp4_BetaSweep,beta_sweep_0.1,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.1,4501,92.6%,84.7%,mean_rest,0.0030,2.0e-03,False,84.1%,0.0027,3.6e-01,False,84.4%,0.0028,1.5e-02,False,84.5%,0.0024,6.5e-02,False
Exp4_BetaSweep,beta_sweep_0.3,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.3,4961,92.6%,85.0%,mean_rest,0.0075,1.7e-75,True,85.2%,0.0073,2.9e-63,True,84.9%,0.0070,1.8e-59,True,84.9%,0.0068,1.7e-44,True
Exp4_BetaSweep,beta_sweep_0.5,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4899,92.6%,83.9%,mean_rest,0.0123,1.3e-205,True,83.7%,0.0118,5.9e-182,True,83.9%,0.0112,1.7e-167,True,83.9%,0.0110,1.8e-170,True
Exp4_BetaSweep,beta_sweep_0.7,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.7,4922,92.6%,84.3%,mean_rest,0.0161,7.2e-271,True,84.3%,0.0157,5.4e-247,True,84.4%,0.0152,2.5e-234,True,84.2%,0.0130,1.2e-186,True
Exp4_BetaSweep,beta_sweep_0.9,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.9,4839,92.6%,84.1%,mean_rest,0.0169,1.6e-293,True,84.0%,0.0161,1.3e-266,True,84.0%,0.0151,1.0e-243,True,83.7%,0.0150,6.0e-252,True
Exp5_QuerySweep,nq_sweep_5000,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,60.1%,mean_rest,0.0037,1.0e+00,False,59.9%,0.0034,1.0e+00,False,62.4%,0.0023,1.0e+00,False,63.5%,0.0026,7.3e-01,False
Exp5_QuerySweep,nq_sweep_10000,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,69.0%,mean_rest,0.0038,1.0e+00,False,67.7%,0.0037,1.0e+00,False,68.8%,0.0025,1.0e+00,False,69.8%,0.0020,1.0e+00,False
Exp5_QuerySweep,nq_sweep_20000,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,77.0%,mean_rest,0.0056,2.3e-23,True,75.9%,0.0052,8.0e-02,False,77.2%,0.0045,2.5e-04,False,77.1%,0.0037,7.1e-07,False
Exp5_QuerySweep,nq_sweep_50000,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,mean_rest,0.0060,3.2e-182,True,84.0%,0.0055,3.3e-98,True,84.5%,0.0052,7.0e-113,True,84.6%,0.0055,7.6e-169,True
