Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c10_resnet20_resnet20_T3,REC,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,4908,92.6%,84.1%,suspect_top1,0.0115,1.7e-204,True,83.6%,0.0116,8.2e-204,True,83.9%,0.0096,2.9e-155,True,83.5%,0.0089,1.5e-150,True
Exp1_MainTable,c10_resnet20_resnet20_T5,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4961,92.6%,84.3%,mean_rest,0.0132,6.8e-208,True,84.2%,0.0119,1.7e-166,True,84.7%,0.0119,2.2e-188,True,84.2%,0.0109,1.3e-164,True
Exp1_MainTable,c10_resnet20_resnet20_T5,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4961,92.6%,84.3%,single_ctrl,0.0120,3.3e-188,True,84.2%,0.0108,8.4e-169,True,84.7%,0.0105,1.8e-167,True,84.2%,0.0090,6.1e-130,True
Exp1_MainTable,c10_resnet20_resnet20_T5,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4961,92.6%,84.3%,suspect_top1,0.0120,4.4e-188,True,84.2%,0.0107,3.8e-167,True,84.7%,0.0103,6.1e-164,True,84.2%,0.0087,4.8e-125,True
Exp1_MainTable,c10_resnet20_resnet20_T10,REC,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,5072,92.6%,84.5%,mean_rest,0.0140,1.7e-244,True,84.1%,0.0134,2.9e-209,True,84.2%,0.0128,6.1e-187,True,84.2%,0.0123,3.5e-166,True
Exp1_MainTable,c10_resnet20_resnet20_T10,REC,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,5072,92.6%,84.5%,single_ctrl,0.0129,4.7e-226,True,84.1%,0.0125,8.3e-208,True,84.2%,0.0111,1.4e-165,True,84.2%,0.0104,6.8e-146,True
Exp1_MainTable,c10_resnet20_resnet20_T10,REC,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,5072,92.6%,84.5%,suspect_top1,0.0129,6.0e-226,True,84.1%,0.0120,2.5e-201,True,84.2%,0.0108,3.8e-162,True,84.2%,0.0098,1.6e-137,True
Exp1_MainTable,c10_resnet20_vgg11_T1,REC,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,5003,92.6%,84.1%,mean_rest,0.0096,6.5e-303,True,83.8%,0.0094,2.5e-302,True,83.7%,0.0089,3.3e-287,True,83.8%,0.0088,1.3e-278,True
Exp1_MainTable,c10_resnet20_vgg11_T1,REC,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,5003,92.6%,84.1%,single_ctrl,0.0107,2.9e-219,True,83.8%,0.0105,1.8e-218,True,83.7%,0.0099,2.1e-212,True,83.8%,0.0099,4.3e-211,True
Exp1_MainTable,c10_resnet20_vgg11_T1,REC,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,5003,92.6%,84.1%,suspect_top1,0.0107,2.9e-219,True,83.8%,0.0105,1.8e-218,True,83.7%,0.0099,2.1e-212,True,83.8%,0.0099,4.3e-211,True
Exp1_MainTable,c10_resnet20_vgg11_T3,REC,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5034,92.6%,85.6%,mean_rest,0.0068,8.7e-153,True,84.9%,0.0067,2.5e-167,True,85.4%,0.0064,1.2e-166,True,85.4%,0.0065,1.7e-161,True
Exp1_MainTable,c10_resnet20_vgg11_T3,REC,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5034,92.6%,85.6%,single_ctrl,0.0055,8.5e-129,True,84.9%,0.0059,1.0e-157,True,85.4%,0.0057,1.1e-165,True,85.4%,0.0057,5.7e-159,True
Exp1_MainTable,c10_resnet20_vgg11_T3,REC,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5034,92.6%,85.6%,suspect_top1,0.0055,8.5e-129,True,84.9%,0.0058,1.1e-156,True,85.4%,0.0057,1.1e-166,True,85.4%,0.0058,4.1e-162,True
Exp1_MainTable,c10_resnet20_vgg11_T5,REC,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4972,92.6%,85.7%,mean_rest,0.0103,6.7e-180,True,85.5%,0.0095,4.0e-197,True,85.4%,0.0085,1.8e-172,True,85.6%,0.0083,2.9e-147,True
Exp1_MainTable,c10_resnet20_vgg11_T5,REC,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4972,92.6%,85.7%,single_ctrl,0.0093,6.8e-197,True,85.5%,0.0088,8.1e-217,True,85.4%,0.0077,5.6e-194,True,85.6%,0.0075,8.7e-177,True
Exp1_MainTable,c10_resnet20_vgg11_T5,REC,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4972,92.6%,85.7%,suspect_top1,0.0093,3.4e-197,True,85.5%,0.0087,3.3e-215,True,85.4%,0.0077,7.3e-196,True,85.6%,0.0076,1.9e-180,True
Exp1_MainTable,c10_resnet20_vgg11_T10,REC,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,4890,92.6%,86.2%,mean_rest,0.0107,8.4e-166,True,85.8%,0.0094,3.1e-179,True,85.9%,0.0084,2.5e-151,True,85.8%,0.0086,4.7e-137,True
Exp1_MainTable,c10_resnet20_vgg11_T10,REC,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,4890,92.6%,86.2%,single_ctrl,0.0100,1.9e-198,True,85.8%,0.0087,1.5e-193,True,85.9%,0.0073,4.5e-152,True,85.8%,0.0077,2.2e-154,True
Exp1_MainTable,c10_resnet20_vgg11_T10,REC,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,4890,92.6%,86.2%,suspect_top1,0.0099,6.0e-198,True,85.8%,0.0084,1.5e-189,True,85.9%,0.0073,1.2e-155,True,85.8%,0.0077,2.5e-154,True
Exp1_MainTable,c10_vgg11_vgg11_T1,REC,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,4927,92.8%,83.2%,mean_rest,0.0235,0.0e+00,True,82.7%,0.0227,0.0e+00,True,82.6%,0.0201,0.0e+00,True,82.7%,0.0174,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T1,REC,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,4927,92.8%,83.2%,single_ctrl,0.0196,0.0e+00,True,82.7%,0.0187,0.0e+00,True,82.6%,0.0164,3.8e-219,True,82.7%,0.0140,1.8e-166,True
